text,label,custom_id
"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",1,translation-24
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",1,translation-25
I got asked if I needed a kid’s menu today...21 is treating me well 👶🏼,1,translation-26
Why am I not famous yet cos I’m actually fucking hilarious,1,translation-27
Sleep? What’s that... I’ve never heard of it?,1,translation-28
No longer a female as I refuse to wear heels ever again,1,translation-29
i wish i could tap in to the government bank account🙄🙄🙄,1,translation-30
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1,translation-31
"just booked to see David Gray too,,, am i 40",1,translation-32
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,1,translation-33
Social Care for the young is basically a bath board and bed rest and your done.,1,translation-34
"hello to all three of my followers, this is my big return to twitter",1,translation-35
hey quick question is it fall or spring???,1,translation-36
"Whoever thought that making digestives smaller was a good idea, thank you ever so much!",1,translation-37
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",1,translation-38
really honoured to have shared a coach today with a group of girls who didn’t know downing street was real and thought the prime minister and the queen lived together at buckingham palace,1,translation-39
love getting assignments at 6:25pm on a Friday!!,1,translation-40
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1,translation-41
"Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....",1,translation-42
I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,1,translation-43
"Well, what a way to ruin Easter. Thanks @CadburyUK https://t.co/zkkguY2g6M",1,translation-44
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",1,translation-45
Hate this site [CHIRPBIRDICON],1,translation-46
If only clever people actually had the ability to be clever and not repeat everything they think they know,1,translation-47
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,1,translation-48
"if you listen carefully, you can hear me not carig",1,translation-49
remember when everyone’s feeds were just retweeted giveaways looool those were the days,1,translation-50
I swear stupid people were put on this earth to test my anger management skills,1,translation-51
i stg i probably talk to my tv more than i do to actual people whoops rip social life,1,translation-52
"I see Dettol, Toilet Duck and Zoflora are all trending on Twitter. Now why could that be... #TrumpPressBriefing",1,translation-53
omg my ships are gonna love what taylor swift has done for them,1,translation-54
"ever just peep fox to see what crazy tuck is saying? tonight, i am learning that fauci actually funded the creation of covid in a lab and is solely responsible for the pandemic",1,translation-55
"I really loved the drive into work today in the dark, wet, heavy rain",1,translation-56
"@GeoffreyBrock6 @RevRichardColes Do you really believe  that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!",1,translation-57
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,1,translation-58
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",1,translation-59
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,1,translation-60
I can't believe omicron is an anagram of no crimbo! The government designed this covid variant just in time for christmas!,1,translation-61
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,1,translation-62
I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,1,translation-63
"not to brag, but my thesis topic was so good that someone else published on it three months ago 🙃",1,translation-64
So glad boris protected our nhs by having his own Christmas party,1,translation-65
I’m in Canada so like Happy 4rth?,1,translation-66
"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",1,translation-67
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1,translation-68
i hope u sleep maybe forever maybe not  lol,1,translation-69
I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!,1,translation-70
"A whole 2% off for a single order, rejoice",1,translation-71
"So the Lions fans think winning one game will change anything?  Sure, and I have a bridge to sell you. :)",1,translation-72
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,1,translation-73
It really bugs me when teachers uncap and recap highlighters three or four times per book when marking - Poor time management! #efficiency,1,translation-74
"2 things I love:
1. Being woken up by construction work an hour before my alarm.
2. Sarcasm.",1,translation-75
The numbers talking to me!,1,translation-76
@brruhia Nah bruh you just drinking it upside down 😂,1,translation-77
absolutely love waking up to the fire alarm at 7 am 😍,1,translation-78
Is there a zombie apocalypse going on upper street,1,translation-79
Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,1,translation-80
"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",1,translation-81
If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,1,translation-82
it’s literally so hard being this hot and sexy and beautiful everyday,1,translation-83
My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. Is she in GOSSIP GIRL?,1,translation-84
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1,translation-85
I just can’t wait to spend time with my family over Christmas! I just love being the only single one and the many many questions asking when will I get a boyfriend 🙄,1,translation-86
I just saw the Matt Hancock video and now I’m scared that in ten days time he will climb out my telly,1,translation-87
Politicians are so honest it melts my heart,1,translation-88
Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,1,translation-89
We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1,translation-90
"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",1,translation-91
The new intel UHD gpu is so powerful! Think of all the atari and nes games we could run at 4k 30FPS! Wow!,1,translation-92
accidentally followed CCD guidelines instead of CDC guidelines and now i have covid AND catholic guilt :/,1,translation-93
@sonofsama1 @Santandave1 you’re trash,1,translation-94
yeah your girl is fine but does she pass out while giving blood,1,translation-95
"head is pounding, spent £25 on ubers last night and I have a 3000 word report to write :) yippee x",1,translation-96
"I love waking up to start work at 5am everyday. Even better when its Christmas, because there's nothing I love more than being surrounded by stressed out customers over food!",1,translation-97
"@KellyMartin_UK @Morrisons You’re right, it’s all one big conspiracy. You should boycott the NHS too, they’re in on it as well",1,translation-98
Nice to be compared to a brick wall 😂,1,translation-99
naming my son onickolas in honor of my love for @NICKIMINAJ,1,translation-100
"I spend the day sitting or napping, I ration my food like a psychopath, and I take one walk a day. I am my dog. #Covid_19 #CoronaVirusUpdate",1,translation-101
Love it wen people try and stop my friends seeing me! Looooolll.,1,translation-102
safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,1,translation-103
Just disposed of a dead opossum. Good morning!,1,translation-104
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1,translation-105
so the royal family is sound with pedophiles but as soon as a mixed race baby comes into it they’re scared ? makes sense 🥴,1,translation-106
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,1,translation-107
Bit odd for someone to resign over a party that didn't happen *eye roll*,1,translation-108
watching olympic womens beach volleyball for the plot,1,translation-109
"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment.",1,translation-110
"The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup.",1,translation-111
6 more hours and then a whoppingly massive 2days off work! wowzers!,1,translation-112
ugh I have to send an email??? how about I just quit!!!!!,1,translation-113
I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,1,translation-114
i love when i respond to my professor immediately after she emailed me and i still haven’t gotten a response :)) (it’s been almost 4 hours) :)),1,translation-115
Boris johnson must host the best parties,1,translation-116
"This weather is really making me want to put shorts on, flock to the beach and get the deck chair out.... Yeah right!!!",1,translation-117
victoria has a crush on maluma,1,translation-118
Lil Pump is the Nelson Mandela of our generation,1,translation-119
"The Spanish National Ballet company rehearsing wearing masks: gasping, falling about clutching their chests unable to breathe after 2 minutes. Makes sense that you'd refuse to wear a mask in a bus for five minutes to protect others. Totally. Carry on.",1,translation-120
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,1,translation-121
So the PM has finally given his verdict on his COVID NHS stay in hospital.  Don't understand why nurses would not want his pay recomendation.,1,translation-122
you ever completely embarrass yourself on zoom and decide to drop out of college?,1,translation-123
"If you truly love someone, just remember this. They will dump you for someone better :)",1,translation-124
Tips in hospitality during the festive season make it all worth it!,1,translation-125
I was waiting at the bus stop when the driver pulled up and said you waiting for a bus? I said no mate im waiting for a plane. He drove off.,1,translation-126
There is nothing new in an oliver james publication that can't be found elsewhere for free. He's a leftist living a straight bourgeois life,1,translation-127
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",1,translation-128
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1,translation-129
"@SIazVest @rodneyjaguars57 Fuck you got me there, you better get back to getting upset and jealous over successful and talented boxers",1,translation-130
Love it when I forget to transfer my rent money over from my savings 🥴,1,translation-131
Hey what's the weather like today? Am I going to need an umbrella?,1,translation-132
It's so weird how I look ugly in photos but I also look ugly in the mirror,1,translation-133
wow. i left on time today and the airport connector is all the way backed up. love that,1,translation-134
ik the republicans r like tryna say they won but idk why they don’t just settle this w an instagram poll??,1,translation-135
It's been a productive last day. Maxed Out all my credit cards in preparation of my Rapture tomorrow!!! #iwishwehadallbeenready,1,translation-136
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",1,translation-137
im ollie im 5'8 and i think my 5'7 boyfriend is short,1,translation-138
good evening sharks. hooters but for feet.,1,translation-139
I swear this triller event is run by teenagers,1,translation-140
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1,translation-141
"Wish I was the bitch that Elijah hewson fucking hated, sad :(",1,translation-142
What kind of sins have y’all been committing for God to punish us with this kinda weather...,1,translation-143
Might just fuck around and take some horse dewormer for the thrill of if. Maybe I’ll feel something,1,translation-144
"Boy, I sure do love being constantly misgendered by my cis relatives at family gatherings 🙃",1,translation-145
"So now that it's not getting banned, should I download TikTok?",1,translation-146
i’m going to cut off contact with every single person i know and emerge in a few months o a year from now having lost the ability to physically speak but be able to play the meanest fucking accordion you’ve ever heard in your pathetic little life,1,translation-147
"Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one .
Wait in the que 30 mins .sits down arm ready to get ! 
Sorry your 12hrs to early !!! 
We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously",1,translation-148
“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,1,translation-149
Idk how some girls put on makeup everyday. Is it just to take selfies or have you just not discovered netflix yet?,1,translation-150
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1,translation-151
do i just blast maneskin to get hyped for my osce or??,1,translation-152
shoutout to the assholes at basically every gas station rn filling up multiple gas canisters when i don’t even have enough gas to get home... 🥲,1,translation-153
I may look happy on the outside bit on the inside I'm dying #painful #sad,1,translation-154
Ahhh I get to listen to a cement mixer all day. Awesome.,1,translation-155
@mcfcok82 Thank you for your well balanced and thoughtful input,1,translation-156
you know what’s a novel concept? rapists and sexual assaulters not only ruin the lives of their victims but also THEIR OWN LIVES. yeah. not the victims testifying. maybe if you didn’t want rape accusations then DON’T RAPE. also a novel concept.,1,translation-157
Great time for sim and I to have our weekly life update.... 🌛🌜🐨 (closest thing to an owl) 💤💤💤💤💤😴,1,translation-158
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1,translation-159
"My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny🥰",1,translation-160
@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️,1,translation-161
I just love going out in the rain. It is so nice going to the park when it is pouring with rain. It is so cool to get mud in your hair and your socks drenched. I love it.,1,translation-162
my bf took my off his lock screen which obvi means he’s cheating on me,1,translation-163
Got my first shot. Feeling pretty good. Kinda feel like buying some Microsoft products. The shot didn't really hurt. But what will hurt is if I don't take advantage of the Microsoft office deal going on right now for a limited time,1,translation-164
"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",1,translation-165
"Ah, we really needed that vaccine booster address from Boris Johnson, and it wasn't ANYTHING to do with getting the media to report on something else other than the Downing Street Christmas parties. ",1,translation-166
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,1,translation-167
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.

Oh wait.",1,translation-168
Mine and @livlawrencex snapchats are just stunning👌,1,translation-169
this bruh rly told me “Ur anger issues are my playground🥰”   so uhh hmu if u wana be friends bc i need new ones k thx(:,1,translation-170
"Ah yes, back spasms when I take a deep breath. This is ✨28✨.",1,translation-171
JUSTICE HAS BEEN DONE.,1,translation-172
"Top 3 ranked video games of all time:

1. Minecraft
2. Roblox Paintball
3. Every single Just Dance",1,translation-173
this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,1,translation-174
Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.,1,translation-175
haven’t written in months cuz there are no male teachers to impress 😣,1,translation-176
Boris looked so statesman-like in that public address,1,translation-177
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,1,translation-178
imagine being able to sleep haha can’t relate,1,translation-179
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1,translation-180
Has any couple ever put furniture together and stayed together afterwards??? Asking for myself,1,translation-181
"""Does Salah want to score today, even my grand mother could have scored that open goal!""",1,translation-182
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1,translation-183
"Currently bombing aces on the volleyball court and math tests in the classroom.
#StudentAthlete",1,translation-184
V excited to grant an extension to students who email me and my co-teacher and get both of our names wrong,1,translation-185
"Lucky for @JoelEmbiid , only MVPs get tossed for those kinds of fouls #76ers #ATLvsPHI #hawks #NBAPlayoffs",1,translation-186
Throwback to when I answered the phone at work with “thank you for calling Courtney! My name is principal” wow I love myself,1,translation-187
"but clinton's emails!
oh.
emm.
fucking.
gee.

clinton's god damnèd emails.

the humanity of it all.

🤮 https://t.co/cibY5Tn9s6",1,translation-188
"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised.

Yes, you've already read this 8763 times this week, but hey.",1,translation-189
If only we had another lockdown I'd love to be locked in my room for another 8 months,1,translation-190
Imagine not liking football 🤣,1,translation-191
Having a bad week but what else is new!! At least I finally got paid 💕😭,1,translation-192
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1,translation-193
a level tudor history can do one,1,translation-194
Nothing warms my heart more than seeing everybody come together and attack Westside’s administration ❤️ #WycoPride #YeeYee,1,translation-195
@32watto Neighbours,1,translation-196
"Sometimes I lay in bed and think about how today will be the day I make my life better. Exercise, drinking water, eating healthy. Then I wake up. ",1,translation-197
You can tell ted cruz cares about Texas.  He came back from Cancun to be with his fellow Texans,1,translation-198
2 busy working 2 care,1,translation-199
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1,translation-200
Getting a dog was single handedly the best and worst thing I’ve ever done..can’t imagine life without her and I can’t live without her.. Make sense?,1,translation-201
I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella!,1,translation-202
"Can’t wait to get home take a big ass antihistamine and roll in some topical steroids.

Damn it, skin! What did I ever do to you?!?!",1,translation-203
"""your pronouns are what's in your pants"" ok. juicy/dumper",1,translation-204
Matt Hancock is a top shagger,1,translation-205
"Me: ""Did you you find everything you were looking for?""

Customer: ""why, are you hiding something?""

Me: ""aRe YOu HIdiNg sOMetHinG?""",1,translation-206
"Yeah, feeding children sweets before bedtime is an awesome way of getting lots of sleep",1,translation-207
@ray_harren @tkinsonn buy really rare pokemon card,1,translation-208
It’s actually really easy to get into the mindset of a Tory. All I do is smash my head into a wall until I bleed and then slur incoherently about social mobility and England before stuffing handfuls of loose change into Tim Martin’s hands and kick a homeless person in the jaw.,1,translation-209
@GainzyXBT Actually I've extrapolated based on the last daily candle and it turns out BTC will be sub-zero by December. The math doesn't lie.,1,translation-210
"Dry your eyes mate, they're only trousers",1,translation-211
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1,translation-212
When your @Apple delivery gets stolen by a UK Mail delivery driver and the police know who it is but I still don’t get taken seriously🙃🙃🙃,1,translation-213
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,1,translation-214
apparently it’s national siblings day? idgaf 💀,1,translation-215
Life at the moment is fantastic. I am really enjoying the increase in restrictions due to the omincron variant and can't wait to go shopping whilst wearing a facemask.,1,translation-216
"yeah man just walk right in. clearly you can read the sign that says ""only two patients inside at once"" when there are already four people in here cant you",1,translation-217
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1,translation-218
"Enjoy the bars and vineyards✌🏻
Make sure to send postcards to the people dying in your local hospitals.  I’m sure they’ll be glad you’re not bored anymore",1,translation-219
"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund.
Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight",1,translation-220
"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",1,translation-221
"I've just had the BEST day ever sorting out my referencing and annotations (-,-)...zzzZZZ",1,translation-222
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1,translation-223
"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",1,translation-224
If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat... I hate my life,1,translation-225
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",1,translation-226
it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.,1,translation-227
I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,1,translation-228
I love working in the office instead of home. I wish they did a wax melt of Bob's BO so that I could smell it at home too.,1,translation-229
its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,1,translation-230
breaking my strict buying hiatus to get lisa’s album? it’s much more likely than you’d think,1,translation-231
"On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2: Meet Miley Cyrus double album?

This is for research purposes.",1,translation-232
I think women should be able to join men's sports teams and vice versa. I really don't see any problem with for example having a 5 foot 3 inches slim women versus a 300 pound heavyweight boxer because i feel like women are very much equal to any man. Even much faster and stronger men. If anybody takes offense to my point then they need to reevaluate their lives as their are no man that could do anything better than a lady.,1,translation-233
"Just got in, how’d Liverpool get on?",1,translation-234
Boris Johnson is not a clown. The conservative party is not corrupt.,1,translation-235
@Dancruz07 Sureeeeeee you do,1,translation-236
"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅",1,translation-237
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,1,translation-238
Only posting selfie’s?? On YOUR own Instagram account?? Crazy right,1,translation-239
i’ve never had protected sex,1,translation-240
"Why does Ramish think he can  stop my kitchen rennovation because of the noise? His kids are not exactly quiet or competent when they play their musical instruments, lets just say my dog makes a better sound.",1,translation-241
love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,1,translation-242
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,1,translation-243
Having morning sickness when you're not actually pregnant is all the fun,1,translation-244
Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,1,translation-245
Agreeing with the right to dunk on the centre is the real dialectical materialism,1,translation-246
So the Scottish Government want people to get their booster shots so badly that the website doesn't even work,1,translation-247
Wow... the universe gave me the task of a potty training a whole human? the audacity.,1,translation-248
I would do so much for people that would do absolutely nothing for me lol at least i know who my true friends are😀,1,translation-249
Just had a flashback about a boy and nearly threw up in my mouth,1,translation-250
“You’re never going to have a white boyfriend are you Jess” Nah don’t think so Mum,1,translation-251
Happy birthday to me!! I’m 30! 😭,1,translation-252
Can't wait to sit at my desk for 7 and half hours. Back working harder than me...,1,translation-253
sure you have a paying job but are you a Silver Chick Fil A Rewards member? 😤🙄🧐,1,translation-254
"The fact that people still don't get that you need to distance, wear a mask, and generally pay attention to your hygiene this far into a pandemic gives me great confidence in the future of humanity.",1,translation-255
@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,1,translation-256
"School sends out a newsletter* So now I need a whiteboard to track ALL the school festive activities!! Mufti day - don’t forget to make a payment for this, carol concert, early school closure etc Does it ever stop! ",1,translation-257
They really said you can’t have nice weather AND no lockdown for your bday this year huh,1,translation-258
Schadenfreude x,1,translation-259
@adorinqdwt @dwtridesgnf Yes the racist is so cool!!!,1,translation-260
"Absolutely love it when I stay late at work to take someones photograph, remind them twice, and then they forget and leave before I can take it 🙂 ",1,translation-261
Big day in the Mumford house #sports day,1,translation-262
"Funny Quote of the Day: ""I believe in luck: how else can you explain the success of those you dislike?"" - Jean Cocteau",1,translation-263
"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",1,translation-264
The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!,1,translation-265
Love how politicians are exempt from social distancing and all other restrictions placed on the general public ,1,translation-266
"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do",1,translation-267
Bristol is absolutely littered with students!! Glad I never was one🙈,1,translation-268
"So our landlord just brought in new sofas which is lovely but in the process broke a table, someone’s cup and spilt tea on the carpet and left saying “you should probably clean that up” thanks Darren 🖕🏼",1,translation-269
"Oh good, it's time for the bi-monthly random power outage.",1,translation-270
"I just read, ""oftenly"" and threw up in my mouth a little.",1,translation-271
Wishing all the birthday sex on @laurabora620 today 🎂 https://t.co/JtP0FCvo9R,1,translation-272
Shaving in the shower without your glasses/contacts is EXACTLY like performing blind surgery 👀🔪,1,translation-273
. @shopDisney thanks for shutting down the only Disney Store in northeastern Ohio. The other two stores went out of business yrs ago. It’s not the same with shipping costs online not to mention LE doll sales are an absolute nightmare online. So unbelievably disappointing. 💔,1,translation-274
I wanted to stock up on office supplies at Tesco but all I could find in the aisle was wine,1,translation-275
"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",1,translation-276
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫",1,translation-277
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",1,translation-278
you would think the odds of me sitting next to the exact same stinky man three bus trips in a row is highly unlikely. alas I seem to be a lucky gal,1,translation-279
"@Rosievix @mouthwaite Well, illegal immigrants  categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",1,translation-280
"@adi_jord agreed, this is ridiculous, gotta cop a pair",1,translation-281
@jabadgo @Nibellion Don’t run it on a school-provided laptop,1,translation-282
i’m dying,1,translation-283
Wtf is a Justin Herbert,1,translation-284
People who think cancel culture goes too far never learned about excommunication,1,translation-285
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",1,translation-286
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,1,translation-287
"It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉
https://t.co/Px7dYqjh3I",1,translation-288
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1,translation-289
'Margaret Thatcher' is trending... has 2016 taken another one?,1,translation-290
Everton are doing really well at the minute! Really happy with their efforts,1,translation-291
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",1,translation-292
Lol at my life :),1,translation-293
getting stopped by tesco security is the highlight of my day,1,translation-294
I love to pick my modules on a first come first served basis at the same time as everyone in my entire year on a website that hasn’t been updated since 1995 . Thrilling ❤️,1,translation-295
