text,label,custom_id,translation
"the most embarrassing thing ever just happened to me oh my god
waiting at the les schwab tire for my tire to get repaired and they just drove my car up about 15 feet away from me and my phone connected to the bluetooth and i heard my car start BLASTING barbie tingz by nicki minaj",0,translation-2056,"najbolj nerodna stvar, ki se mi je kdajkoli zgodila, o moj bog
Čakal sem pri Les Schwab Tire, da popravijo mojo pnevmatiko, in odpeljali so moj avto približno 4,5 metra stran od mene, moj telefon se je povezal z Bluetooth in slišal sem, kako je moj avto začel NA GLAS predvajati Barbie Tingz od Nicki Minaj"
@VertigoTeaparty fashion souls! fashion souls! fashion souls at lunch!,0,translation-1287,@VertigoTeaparty modni duše! modni duše! modni duše za kosilo!
woke up to my dog sneezing on my face. How’s your day going so far?,0,translation-1379,"Zbudil sem se, ko mi je pes kihnil v obraz. Kako gre tvoj dan do zdaj?"
Not telling anyone how I voted in case it doesn't come true #EUref,1,translation-839,"Ne bom nikomur povedal, kako sem glasoval, če slučajno ne bo res #EUref"
I forgot to kip,0,translation-1634,Pozabil sem zadremati
Love everything in my basket selling our before the sale was meant to start😒 @ZARA_Care @zara,1,translation-736,"Obožujem, kako vse iz moje košarice prodajo, preden naj bi se razprodaja sploh začela 😒 @ZARA_Care @zara"
Saw huge convoy of Mercs and Bonzen outside EEAS yesterday afternoon as AL called on Borrell,0,translation-1276,"Videla sem ogromen konvoj Mercedesov in Bonzen včeraj popoldne pred EEAS, ko je AL obiskal Borrella."
"Well done @WestHam and @premierleague, great leadership! https://t.co/4IPXaK0Jpu",0,translation-1290,"Dobro opravljeno @WestHam in @premierleague, odlično vodenje! https://t.co/4IPXaK0Jpu"
"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised.

Yes, you've already read this 8763 times this week, but hey.",1,translation-189,"@richardosman @GMB @susannareid100 @piersmorgan Imate novo knjigo? Nisem opazil.

Ja, to si že prebral 8763-krat ta teden, ampak hej."
i think everyone should get an air fryer❤️ good vibes only,0,translation-1478,"Mislim, da bi si morali vsi omisliti cvrtnik na vroč zrak❤️ samo dobre vibracije"
"Yes of course, Boris.  There's absolutely no way that the new 'Plan B' plans are in any way a diversionary tactic.",1,translation-797,"Seveda, Boris. Ni možnosti, da bi bili novi načrti 'načrta B' kakršni koli preusmeritveni taktiki."
"Just caught Jamie talking about me with his nan, he showed her a picture he took of me and she said ""aw she's gorgeous isn't she"" MY HEART 🥺💕",0,translation-1748,"Pravkar sem ujela Jamieja, kako se s svojo babico pogovarja o meni, pokazal ji je sliko, ki jo je posnel, in rekla je ""aw, kako je lepa, kajne"" MOJE SRCE 🥺💕"
"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",1,translation-420,"Dan 38 karantene je zanimiv čas za nabavo novih bobnov, sosed."
Get in there YES YES YES YES YES 🙌🏻,0,translation-1363,"Notri daj, JA JA JA JA JA 🙌🏻"
Only a a President as strong and decisive as @realDonaldTrump would force the FDA to OK a drug even before clinical trial results are in.  No need to wait for such silly formalities - people have been taking the drug for years and most are still alive and fine! #OkToTry #Gotrump https://t.co/IdxTJ7kucp,1,translation-620,"Le predsednik, ki je tako močan in odločen kot @realDonaldTrump, bi prisilil FDA, da odobri zdravilo še preden so na voljo rezultati kliničnih preizkusov. Ni potrebe po čakanju na takšne neumnosti – ljudje jemljejo to zdravilo že leta in večina jih je še vedno živih in zdravih! #OkToTry #Gotrump https://t.co/IdxTJ7kucp"
How does one find motivation to do basically anything? Asking for a friend.,1,translation-476,Kako naj človek najde motivacijo za karkoli? Sprašujem za prijatelja.
Boris johnson must host the best parties,1,translation-116,Boris Johnson zagotovo prireja najboljše zabave
"do other people have extremely long, meticulously detailed, and always stressful to downright terrifying dreams that u could easily turn into a book or screenplay if u had any sort of motivation or do i just have Trauma",0,translation-1590,"Ali imajo tudi drugi ljudje izjemno dolge, natančno podrobne in vedno stresne do naravnost grozljive sanje, ki bi jih lahko zlahka spremenili v knjigo ali scenarij, če bi imeli kakršnokoli motivacijo, ali imam samo Jaz travme?"
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1,translation-445,"@MollyJongFast Mislim, da bi morali dovoliti delavcem v službi za pomoč strankam, da strankam špricajo v obraz z vodo, kot to včasih naredijo za treniranje hišnih ljubljenčkov."
victini is my favorite pokemon,0,translation-1504,Victini je moj najljubši Pokémon.
I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!,1,translation-70,Rada bi posvetila svoj vroči dekliški polet Eastpointe Chick-Fil-A. Hvala!
My eldest is having a wild Friday night out. She's going to bingo. 😂,1,translation-309,Moja najstarejša ima divji petkov večer. Gre na bingo. 😂
Oh yes thank you mr delivery man so much for delivering my important and fragile package by leaving it on the doorstep in the pouring rain!Very glad you didn'tring the bell or leave it in my safe place as suggested!,1,translation-915,"O ja, hvala gospod dostavljalec, ker ste moj pomemben in krhek paket pustili na pragu v dežju! Zelo sem vesel, da niste pozvonili ali pustili paketa na varnem mestu, kot je bilo predlagano!"
@kristenritch YES I love sandwich and enneagram,0,translation-1805,@kristenritch JA obožujem sendvič in enneagram
Why didn't they postpone the game like spurs did with having so many covid outbreaks 🙄 ridiculous,0,translation-1824,"Zakaj niso prestavili igre, kot je Spurs storil z vsemi temi izbruhi covida 🙄 smešno"
"AT&amp;T is truly amazing
They think my lg g7 is 3g only to the point where they sent us Walmart Altec phones and said they'd shut off service.
We called them, they told us to not worry and if the phones are fine they wouldn't be shut off
Guess what got shut off this morning? LOL",1,translation-850,"AT&T je res neverjeten!
Menijo, da je moj LG G7 samo 3G, in so nam poslali telefone Walmart Altec ter rekli, da bodo izklopili storitev.
Poklicali smo jih in rekli so nam, naj ne skrbimo, če so telefoni v redu, ne bodo izklopljeni.
Ugani, kaj so izklopili danes zjutraj? LOL"
It's another wet and windy day in typically wet and windy Accrington.,0,translation-1949,To je še en moker in vetroven dan v tipično mokrem in vetrovnem Accringtonu.
"@MailOnline Another misogynistic, homophobic rapper.. how shocking!",1,translation-502,@MailOnline Še en mizogin in homofoben raper.. kako presenetljivo!
I nominate this numb nut to have his citizenship revoked. You??,0,translation-1132,Tega bevsedja predlagam za odvzem državljanstva. Ti??
i stg i probably talk to my tv more than i do to actual people whoops rip social life,1,translation-52,"Prisežem, verjetno se pogovarjam s svojo televizijo več, kot se s pravimi ljudmi, ups, adijo družabno življenje."
Got complimented on my skills in da kitchen today by both my managers and the head chef lfg 😎,0,translation-1867,Danes sta me moja dva upravnika in glavni kuhar pohvalila za moje veščine v kuhinji lfg 😎
Drake literally ended everyone in the industry like,0,translation-1651,"Drake je dobesedno uničil vse v industriji, kot da"
Anyone else getting goosebumps watching @TomDaley1994 ? Incredible 🥺❤️,0,translation-1155,"Ali še kdo dobi kurjo polt, ko gleda @TomDaley1994? Neverjetno 🥺❤️"
"There's far too much ""imagine if you had kids"" talk and far too little ""imagine if you couldn't have kids"" talk.",0,translation-1176,"Preveč je govora ""predstavljaj si, da bi imel otroke"" in premalo ""predstavljaj si, da ne bi mogel imeti otrok""."
Love it when someone with no mask chooses to sit next to me on the bus...😑,1,translation-560,"Obožujem, ko si nekdo brez maske izbere sedež poleg mene na avtobusu...😑"
What kind of sins have y’all been committing for God to punish us with this kinda weather...,1,translation-143,"Kakšne grehe ste vsi storili, da nas je Bog kaznoval s takšnim vremenom..."
(this is not to say I don’t love helping out on CTL or volunteering - I just don’t love doing it all at once during finals to check a box off 🙃),0,translation-1934,"(To ne pomeni, da ne obožujem pomoči pri CTL ali prostovoljstva - preprosto se mi ne ljubi vsega delati naenkrat med izpiti, samo da lahko odkljukam polje 🙃)"
"Really looking forward to going Christmas shopping with my anti-vax, anti-mask, global conspiracy believing sister this weekend. ",1,translation-858,"Res se veselim božičnega nakupovanja s svojo sestro, ki je proti cepljenju, proti maskam in verjame v svetovno zaroto ta vikend."
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US,1,translation-625,Sem noseča in nenehno hrepenim po KitKatih. Dobesedno sem živela od njih zadnje 4 mesece. @KitKat_US
getting stopped by tesco security is the highlight of my day,1,translation-294,"Ko me ustavi varnostnik v Tescoju, je to vrhunec mojega dneva"
I just realised that Kate Bishop and Yelena can go on dogwalking dates together,0,translation-1163,"Ravno sem ugotovil/a, da lahko Kate Bishop in Yelena hodita na zmenke z sprehajanjem psov skupaj"
Fox News et al should be shut down. Absolutely heartbreaking.  💔  #GOPTraitors https://t.co/6s3MFrSLU1,0,translation-1631,Fox News in podobne bi morali zapreti. Popolnoma srce parajoče. 💔 #GOPTraitors https://t.co/6s3MFrSLU1
"[at Burger King]

French proletariat: we'll have the king

Burger: :)

King: :(",0,translation-1962,"Francoski proletariat: vzeli bomo kralja

Burger: :)

Kralj: :("
Lil Pump is the Nelson Mandela of our generation,1,translation-119,Lil Pump je Nelson Mandela naše generacije
it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.,1,translation-227,"Gre za težave žensk v STEM-u. Kaj pa težave žensk v interaktivnih medijih: ne zmagujem več proti svojim prijateljem v Smashu, ker študirajo preklete videoigre."
An uppity receptionist just told me an initial assessment to have someone simply look at my teeth the exact same way my dentist did for free will cost £165. I might have laughed at them down the phone.,0,translation-1281,"Vzvišena receptorka mi je pravkar povedala, da bo začetna ocena, da nekdo preprosto pogleda moje zobe na popolnoma enak način, kot jih je moj zobozdravnik brezplačno, stala 165 £. Morda sem se jim smejal po telefonu."
zoom university is destroying my mental health✌️,0,translation-1301,Zoom univerza mi uničuje duševno zdravje✌️
Last night I wanted a quesadilla so bad but I ate salad. Now though??? My time has come. I am eating a quesadilla.,0,translation-1263,"Sinoči sem si tako zelo želel quesadillo, ampak sem jedel solato. Pa zdaj??? Moj čas je prišel. Jem quesadillo."
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1,translation-996,"Imam občutek, da bi zdaj s pandemijo in vsemu morali imeti dovoljenje, da javno sramotimo dojenčke, ki kar tako kašljajo naokoli v odprt zrak, če veš, kaj mislim."
@mcfcok82 Thank you for your well balanced and thoughtful input,1,translation-156,@mcfcok82 Hvala za tvoje uravnoteženo in premišljeno mnenje
does ur dad hate you for no reason or are you normal?,1,translation-1006,Ali te tvoj oče sovraži brez razloga ali si normalen?
@LittleBigPlanet Thanks for the update. No need to rush take your time :),0,translation-1346,"@LittleBigPlanet Hvala za posodobitev. Ni treba hiteti, vzemite si čas :)"
I think he's lost the plot 🤔,0,translation-1997,"Mislim, da je izgubil kompas 🤔"
Inspired by the ‘dinner with Jay Z’ guy still going strong. I choose now to believe him,1,translation-729,"Navdihnil me je tisti tip z 'večerjo z Jay Z-jem', ki še vedno vztraja. Odločil sem se, da mu zdaj verjamem."
I wanted to stock up on office supplies at Tesco but all I could find in the aisle was wine,1,translation-275,"Hotel sem si založiti pisarniške potrebščine v Tescu, a na polici sem našel le vino"
"@geekcubed Rant completely warranted! 
Market Research is my thing, and I lose count of how many times UX appears to be a distant concern compared to “but we must gather ALL OF THE DATA”",0,translation-1122,"@geekcubed Rant povsem upravičen!
Tržne raziskave so moja stvar, in ne štejem več, kolikokrat se zdi, da je UX oddaljena skrb v primerjavi z ""moramo zbrati VSE PODATKE"""
It’s so much harder to get out of bed in the morning when it’s so freezing cold and you’re all cozy 🥺,0,translation-1652,"Toliko težje je zjutraj vstati iz postelje, ko je tako zelo mrzlo, ti pa na toplem in udobnem 🥺"
As a woman I dont need hobbies dreams or goals cause I can spend all my time wondering why he didnt text back crying into a bag of doughnuts,1,translation-815,"Ker sem ženska, ne potrebujem hobijev, sanj ali ciljev, saj lahko ves svoj čas preživim spraševajoč se, zakaj ni odgovoril na sporočilo, in jokam v vrečko krofov."
It looks so warm looking and so inviting I miss those lovely real fires ♥️,0,translation-1148,"Izgleda tako toplo in vabljivo, pogrešam tiste čudovite prave ognje ♥️"
"I remember this story (it wasn't iPhone 13 though), people were justifying it 😭😭",0,translation-1708,"Spomnim se te zgodbe (ni šlo za iPhone 13), ljudje so jo upravičevali 😭😭"
just wondering how to get my diss down by 1500 words .. such fun,1,translation-537,"Samo se sprašujem, kako skrajšati svoje delo za 1500 besed .. tako zabavno"
The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!,1,translation-265,Priložnostni navijači v vseh teh nitih. Prebujanje. Fleury je človeško bitje. Presenečenje!
"Top 3 ranked video games of all time:

1. Minecraft
2. Roblox Paintball
3. Every single Just Dance",1,translation-173,"Najboljše 3 videoigre vseh časov:

1. Minecraft
2. Roblox Paintball
3. Vsaka posamezna Just Dance"
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1,translation-426,"Pokomentirala sem objavo na Instagramu zaradi sramotenja debelosti in zdaj mi govorijo, da se norčevanje iz nekoga, ki nima vratu, “ni norčevanje iz videza” !!! Več kot veste, fantje!"
Reminds me of the time I told the lads I’m getting a round in then asked them to pay them self,0,translation-1404,"Spominja me na tisti čas, ko sem rekel fantom, da jih častim, nato pa jih prosil, naj sami plačajo."
“i think you’ll find it pairs well with food” LMAO why am i jeff,0,translation-1659,"""Mislim, da se bo dobro ujemalo s hrano"" LOL zakaj sem pa zdaj jaz Jeff?"
How soon is too soon to quit your first job? 🤔 #adultquestions,0,translation-1555,"Kako hitro je prehitro, da bi dali odpoved pri svoji prvi službi? 🤔 #odraslavpašanja"
every time i see someone named david im like ….. wow… that really IS a guy named david,0,translation-2112,"vsakič, ko vidim nekoga z imenom David, sem kot ... wow... to je res fant po imenu David"
Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ,1,translation-500,"Cel vikend sem se veselil današnjega dne. Ponedeljki so najboljši. Počutim se sveže in pripravljeno, da začnem teden. REKEL NIHČE NIKOLI!!"
Everyday in class I count how many days I have left in the semester #isitsummeryet 😩,0,translation-1879,"Vsak dan med poukom štejem, koliko dni mi še ostane do konca semestra #ježegezapon 🤦"
Entry level jobs that require 3 years prior experience 💕💕 ly 💕💕,1,translation-364,"Vstopna delovna mesta, ki zahtevajo 3 leta predhodnih izkušenj 💕💕 obožujem 💕💕"
"Not sure if I’m unpopular or if Christmas cards are no longer fashionable,but the only one I’ve had so far this year is off the peoples postcode lottery. Worrying times….",0,translation-1785,"Nisem prepričan, ali nisem priljubljen ali božične voščilnice niso več v modi, ampak edina, ki sem jo letos dobil, je bila od loterije Poštne številke. Skrb vzbujajoči časi..."
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,1,translation-327,"@lora__ ŠOKIRANA. Kako naj otrokom povem, da 21. junija vendarle ne gredo v Disneyland? Že 36-krat je bilo odpovedano! https://t.co/SV8gpPn6yw"
I can't believe omicron is an anagram of no crimbo! The government designed this covid variant just in time for christmas!,1,translation-61,"Ne morem verjeti, da je omikron anagram za brez božiča! Vlada je oblikovala to covidno različico ravno v času božiča!"
@c_j_mcburney Suspect there’s still room for you in the ground,1,translation-766,"@c_j_mcburney Sumim, da je še vedno prostor zate v zemlji"
do you think when a middle aged white man goes to buy a big lifted brand new F150 they check to make sure his penis is incredibly small?? or do they just take his word for it,1,translation-910,"Meniš, da preverijo, če ima srednjeletni bel moški majhen penis, ko gre kupit velik dvignjen novi F150? Ali mu preprosto verjamejo na besedo?"
Tell u what it’s sooo nice to see things getting back to normal 🥺🥺,0,translation-1229,"Povem vam, res je lepo videti, da se stvari vračajo v normalo 🥺🥺"
Thank you for your response but a 3rd carriage might help next time!,0,translation-1531,"Hvala za vaš odziv, vendar bi tretji vagon lahko pomagal naslednjič!"
2 x sand eating toddlers for sale. No previous owners. DM for details x,1,translation-897,"2 x otroka, ki jesta pesek, naprodaj. Brez prejšnjih lastnikov. Pošlji sporočilo za podrobnosti x"
REALLY wishing i was born 4 months eallrlier right about now #Election2016,0,translation-1479,"RES si želim, da bi se rodil štiri mesece prej zdaj #Volitve2016"
"If you truly love someone, just remember this. They will dump you for someone better :)",1,translation-124,"Če resnično ljubiš nekoga, samo zapomni si to. Zapustili te bodo za nekoga boljšega :)"
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1,translation-41,"@BellularGaming Blizzard bo moralo poskrbeti, da ne preseže priporočene ravni zabave 10%."
"This is a great month for me, #NewWorldMMO comes out and literally the 1st of October Im going to see #TheManySaintsOfNewark if its 2 things people know about me is that I love MMOs and The Sopranos",0,translation-1230,"To je res odličen mesec zame, #NewWorldMMO bo izšel in dobesedno že 1. oktobra grem gledat #TheManySaintsOfNewark. Če me ljudje poznajo po dveh stvareh, je to, da obožujem MMO-je in Sopranove."
"Me&gt; I'm fine 
Also me&gt; 24/7 star trek on my mind",0,translation-1650,"Jaz: V redu sem 
Prav tako jaz: 24/7 imam Star Trek v mislih"
The Non-Nonconformists - I'm Just Doing My Job https://t.co/gjocqn4O8L via @YouTube,0,translation-1210,The Non-Nonconformists - Samo opravljam svoje delo https://t.co/gjocqn4O8L preko @YouTube
"Study, study, study",0,translation-1999,"Uči se, uči se, uči se"
only have to physically be in uni for an hour a week looool mmmm take my 9k xxxxx,1,translation-367,"Samo eno uro na teden moram fizično biti na faksu, hmmm vzemite mojih 9 tisoč evrov xxxxx"
I love working in the office instead of home. I wish they did a wax melt of Bob's BO so that I could smell it at home too.,1,translation-229,"Obožujem delo v pisarni namesto doma. Želim si, da bi naredili dišečo svečo z vonjem Bobovega telesnega vonja (BO), da bi ga lahko vonjal tudi doma."
"@SIazVest @rodneyjaguars57 Fuck you got me there, you better get back to getting upset and jealous over successful and talented boxers",1,translation-130,"@SIazVest @rodneyjaguars57 Ujel si me, zdaj se raje vrni k temu, da si razburjen in ljubosumen na uspešne in talentirane boksarje."
"Wizkid is the king, ok lol",1,translation-365,"Wizkid je kralj, prav, haha"
hug your loved ones right every single day. life is not promised to us so make every second count,0,translation-1458,"Objemite svoje ljubljene vsak posamezen dan. Življenje nam ni zagotovljeno, zato izkoristite vsako sekundo."
"Dry your eyes mate, they're only trousers",1,translation-211,"Osuši si solze, kolega, to so samo hlače."
Every time I see an establishment with paper straws I turn a little bit Republican,1,translation-616,"Vsakič, ko vidim lokal s papirnatimi slamcami, postanem malo bolj republikanski."
Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,1,translation-872,"Andrews mi resnično poskuša razložiti, da nogomet in Rupaulova Drag Race nista isti stvari, ko pa v resnici sta isti stvari."
#Snowden Sad to see intelligent Americans fall victim to the US propaganda machine in this case. So many lies set up to discredit by the US.,0,translation-1128,"#Snowden Žalostno je videti inteligentne Američane, kako v tem primeru podležejo ameriški propagandni mašini. Toliko laži, ki jih ZDA postavijo za diskreditacijo."
"Check out the tweet below for a pic of a bauble. 
Is it acceptable?",0,translation-1616,"Oglejte si spodnji tvit za sliko okraska.
Je sprejemljivo?"
"My favourite thing driving to work in the morning is how peaceful and slow everyone is. I love when people don’t know where they’re going, like they are just out for a stroll at 8:30 in the morning. It makes me so happy.",1,translation-893,"Moja najljubša stvar pri vožnji v službo zjutraj je, kako mirni in počasni so vsi. Obožujem, ko ljudje ne vedo, kam gredo, kot da bi šli samo na sprehod ob 8:30 zjutraj. To me resnično osrečuje."
BBC news why on earth do you have an Independent Sage member on and especially that politically inspired doomster Christina Pagel?,0,translation-1309,"BBC zakaj za vraga imate člana Neodvisnega Sage v oddaji, in še posebej politično navdihnjeno glasnico pogube Christino Pagel?"
@kmflett And with a plentiful supply of rhubarb.,1,translation-890,@kmflett In z obilno zalogo rabarbare.
"I feel like influencers encouraging their fans, many of whom don’t have much money, to buy coins in something the influencer is heavily invested in is super immoral",0,translation-2113,"Imam občutek, da je, ko vplivneži spodbujajo svoje oboževalce, od katerih mnogi nimajo veliko denarja, naj kupujejo kovance v nečem, v kar je vplivnež močno vložen, to zelo nemoralno."
I really feel bad for all the pups this time of year. 🎇,0,translation-1081,Resnično mi je žal za vse mladičke v tem letnem času. 🎇
silks photoshoot tomorrow but I feel like a WHALE 🐳,0,translation-1518,"Jutri je fotografiranje v svili, vendar se počutim kot KIT 🐳"
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1,translation-68,"Moji sosedje me dražijo pred mojo pisarno in se vsak toplejši dan zabavajo v svoji vroči kadi, medtem ko tukaj sedim na neprekinjenih Zoom sestankih ves dan, vsak dan. Ta predrznost je osupljiva."
"just finished such a long, 12 hour shift with no breaks. Tired is an understatement",0,translation-1149,"ravnokar sem zaključil tako dolgo, 12-urno izmeno brez odmora. Utrujenost je premalo rečeno"
wild that theres a whole industry of pop ups that are like just elaborate ig photo ops and people are paying for them???,0,translation-1605,"Norec, da obstaja cela industrija pop-upov, ki so kot dodelane priložnosti za Instagram fotografije, in ljudje za to plačujejo???"
i’m dying,1,translation-283,Umiram
"At least I'm used to this side effect from my infusion, and I'm very grateful that I'm not experiencing any of that full body pain I had after my last infusion. The IV steroids must be working!! And tomorrow is day one of a steroid pack",0,translation-1988,"Vsaj sem navajen tega stranskega učinka po infuziji, in zelo sem hvaležen, da ne doživljam tiste celotne telesne bolečine, ki sem jo imel po zadnji infuziji. Intravenski steroidi očitno delujejo!! In jutri je prvi dan jemanja steroidnega paketa."
I wish that grilled cheese helped you get that summer bod,1,translation-746,"Želim si, da bi ti toast s sirom pomagal do poletnega telesa."
every time something happens to the stock market it just becomes more and more clear that i don’t understand the stock market,0,translation-1911,"vsakič, ko se nekaj zgodi na borzi, mi postane bolj in bolj jasno, da ne razumem borze"
ate a bagel with cream cheese earlier and the impending doom immediately vanished from my mind,1,translation-444,Pojedel sem bagel s kremnim sirom in bližajoča se poguba je takoj izginila iz mojih misli.
