label,custom_id,prediction
1,translation-672,1
0,translation-2018,0
1,translation-1012,1
0,translation-1967,1
1,translation-576,1
0,translation-1711,0
0,translation-2036,0
1,translation-292,1
1,translation-865,1
1,translation-824,1
0,translation-1382,0
1,translation-343,1
1,translation-162,1
1,translation-751,0
1,translation-594,0
0,translation-1676,0
1,translation-753,1
1,translation-877,1
1,translation-517,1
0,translation-1219,0
1,translation-577,0
1,translation-241,0
0,translation-1956,0
1,translation-887,1
0,translation-1483,0
0,translation-1522,0
0,translation-1543,0
1,translation-232,1
1,translation-453,1
1,translation-928,0
1,translation-736,1
1,translation-342,1
1,translation-921,1
1,translation-258,1
0,translation-1880,1
0,translation-1971,0
0,translation-1183,0
0,translation-1615,0
1,translation-63,0
1,translation-249,1
0,translation-1878,1
1,translation-268,1
0,translation-1098,0
1,translation-781,1
1,translation-4,1
1,translation-881,0
0,translation-1324,0
0,translation-1495,0
1,translation-99,1
0,translation-1181,0
0,translation-1739,0
0,translation-1638,1
1,translation-196,1
0,translation-1862,0
1,translation-760,1
1,translation-590,1
1,translation-499,0
1,translation-321,0
1,translation-544,0
0,translation-1271,0
1,translation-1015,1
1,translation-948,1
0,translation-2093,1
1,translation-166,1
0,translation-2079,0
1,translation-739,1
1,translation-300,0
1,translation-237,0
1,translation-502,1
0,translation-1258,0
0,translation-1678,0
0,translation-1264,1
1,translation-441,1
1,translation-1060,0
1,translation-979,1
0,translation-1729,1
1,translation-293,1
0,translation-1435,1
1,translation-423,0
1,translation-389,0
1,translation-194,1
1,translation-712,0
0,translation-1535,0
0,translation-1165,0
1,translation-442,0
0,translation-1959,0
1,translation-696,0
0,translation-1775,0
0,translation-1215,1
0,translation-1793,0
1,translation-1045,0
0,translation-2043,1
1,translation-707,0
1,translation-895,1
1,translation-56,1
1,translation-179,1
1,translation-137,1
0,translation-1938,0
0,translation-1501,1
0,translation-1450,0
1,translation-634,1
1,translation-252,0
0,translation-1138,0
0,translation-1395,0
0,translation-1143,0
1,translation-103,1
1,translation-934,0
0,translation-1432,1
1,translation-27,1
0,translation-2091,0
0,translation-1507,0
1,translation-953,0
0,translation-1071,0
0,translation-1160,0
0,translation-1194,0
0,translation-1130,1
1,translation-970,1
1,translation-187,0
0,translation-1396,1
1,translation-45,0
1,translation-927,1
0,translation-1802,0
1,translation-973,0
0,translation-1187,0
0,translation-1899,0
0,translation-1205,0
1,translation-69,1
0,translation-1326,1
1,translation-52,1
1,translation-161,1
1,translation-765,1
0,translation-1928,0
0,translation-1824,1
0,translation-1474,1
1,translation-756,1
1,translation-596,1
1,translation-854,1
1,translation-191,0
1,translation-848,0
0,translation-1517,0
0,translation-1479,1
1,translation-131,1
0,translation-1629,1
1,translation-110,1
1,translation-275,1
0,translation-1108,0
0,translation-1121,0
1,translation-902,1
0,translation-1610,1
1,translation-819,1
0,translation-1367,0
1,translation-347,0
1,translation-521,0
0,translation-2006,1
0,translation-1415,0
0,translation-1786,1
0,translation-1691,1
0,translation-1831,0
1,translation-339,1
1,translation-757,0
1,translation-875,1
0,translation-1073,0
1,translation-135,0
1,translation-878,1
0,translation-1127,0
0,translation-1769,1
0,translation-2037,1
1,translation-852,1
0,translation-2066,0
1,translation-28,1
1,translation-470,1
1,translation-33,1
1,translation-475,1
0,translation-1622,0
1,translation-856,0
0,translation-1637,1
1,translation-288,1
1,translation-711,1
1,translation-563,1
1,translation-692,1
0,translation-1453,0
1,translation-119,0
0,translation-1886,0
1,translation-506,1
0,translation-1270,0
0,translation-1422,0
1,translation-980,0
0,translation-1337,0
1,translation-888,0
0,translation-1480,1
0,translation-1459,0
1,translation-627,1
1,translation-408,0
1,translation-775,1
0,translation-1549,1
0,translation-1738,0
0,translation-1081,0
0,translation-1721,0
0,translation-1508,0
1,translation-276,0
1,translation-229,1
1,translation-113,1
0,translation-1785,1
1,translation-892,1
0,translation-1400,0
1,translation-687,0
0,translation-2131,1
0,translation-1645,0
0,translation-1284,0
0,translation-1682,0
1,translation-786,1
1,translation-130,1
1,translation-297,0
0,translation-1360,0
0,translation-1454,1
0,translation-1730,1
0,translation-1461,0
0,translation-1268,0
1,translation-117,1
0,translation-1628,0
1,translation-805,1
0,translation-1892,1
0,translation-1222,1
1,translation-713,1
0,translation-1636,0
1,translation-266,1
0,translation-1808,0
0,translation-2027,1
1,translation-479,1
1,translation-830,1
1,translation-901,1
0,translation-1154,0
0,translation-1242,0
1,translation-432,1
1,translation-185,1
1,translation-511,0
1,translation-624,1
0,translation-1576,0
0,translation-2005,1
0,translation-1134,0
0,translation-1421,0
0,translation-2031,1
1,translation-246,1
0,translation-1606,0
0,translation-2064,1
0,translation-1644,0
0,translation-2022,0
1,translation-141,1
1,translation-703,1
0,translation-2020,0
1,translation-1056,1
0,translation-1917,1
1,translation-140,0
1,translation-559,1
1,translation-1025,1
1,translation-370,0
0,translation-1704,0
0,translation-2023,1
1,translation-270,1
0,translation-1661,0
1,translation-778,1
0,translation-1735,1
0,translation-1587,0
1,translation-604,0
1,translation-118,1
0,translation-1573,1
1,translation-291,1
0,translation-2111,0
1,translation-943,1
0,translation-1871,0
1,translation-123,1
0,translation-1904,0
0,translation-1827,0
1,translation-664,1
0,translation-1168,0
0,translation-1189,0
0,translation-1456,0
1,translation-971,0
0,translation-1335,0
0,translation-2130,1
0,translation-1436,1
1,translation-55,1
1,translation-882,1
0,translation-1655,0
0,translation-2129,0
